author,text,hashtags,likes,retweets,replies,created_at,url
Chef Crypto,"not to mention, in these 2 months,  chill guy  has secured listings on almost every t1 exchange.

the path of  chill  isn’t always easy... but the reward will be chiller than you could imagine. today marks 2 months since CHILLGUY graduated from  @pumpdotfun @pumpdotfun .

since then, a lot has happened:  our holder base grew to 137.5k people",,23,54,23,2025-01-16T17:38:13.000Z,https://x.com/chefcrypto_/status/1879946272322515328
TWS NATION,"[INSTAGRAM] 250525

TWS  #YOUNGJAE  Instagram Update

""I wanna be a  chill guy "" #영재 #TWS #투어스 #247WithUs @TWS_PLEDIS","#YOUNGJAE,#영재,#TWS,#투어스,#247WithUs",1,13,1,2025-05-25T13:37:55.000Z,https://x.com/TWS_NATION/status/1926633833593553017
CHILLGUY on SOL,Diamond handin’ the market #chillguy,#chillguy,5,13,5,2025-05-31T16:25:18.000Z,https://x.com/chillguy4life/status/1928850283406184596
Chillguy | Meme,Good Morning to all Chillguys out there!,,12,9,12,2025-05-30T08:46:15.000Z,https://x.com/ChillguyERC20/status/1928372369900323217
Danny André,"#chillguy  are you ready, if you are a real  chillguy  you buy and don't sell till 0.115 Entry 0.077 #CryptoTrading","#chillguy,#CryptoTrading",10,22,10,2025-05-29T14:02:49.000Z,https://x.com/signalwolf1/status/1928089651497050495
Chill Guy,Digvesh Rathi dismissing Virat Kohli today will be an Absolute Cinema... God please make it happen...,,1,4,1,2025-05-27T13:54:26.000Z,https://x.com/Bro_JustChill/status/1927362762998477017
guin,i'm just a  chill guy,,75,75,0,2025-05-27T15:10:36.000Z,https://x.com/m4rktong/status/1927381931966005568
RawG,@richcool324 Chill Guy  在全球广受欢迎。几乎在所有主流交易所上市。市值仍低于 1 亿。,,1,7,1,2025-05-31T14:44:39.000Z,https://x.com/Raughg/status/1928824952012071352
MSU Chill Guy,"MSUChillGuy Commitment: 3 star safety Kolby Barrett has committed to Mississippi State! The 6'2 190 lb. Safety out of Chattanooga, Tennessee chose the Bulldogs over Wake Forest, Vanderbilt, and Georgia Tech. Welcome Home,  @KolbyBarrett4 !",,1,2,1,2025-05-24T16:16:25.000Z,https://x.com/MSUChillGuy/status/1926311332925620708
𝐏𝐲𝐫𝐨 𝐑𝐞𝐝,Comparing  #Fineshyt  to  #Chillguy Pretty insane numbers,"#Fineshyt,#Chillguy",3,3,3,2025-05-29T22:34:16.000Z,https://x.com/itspyrored/status/1928218359855759703
현빵,"i suddenly wanted to listen to “untitled” so i listened to it on youtube 
who’s the worst one out of “ chill ”, “ex”, and “untitled”, i read the comments for 30 minutes
i’m listening to lee know’s “love me or leave me”
lee know’s voice is good too~~
bad  guy  ( chill ), cheater",,2,175,2,2025-05-23T11:31:33.000Z,https://x.com/havenfiIm/status/1925877256938815989
Ashiz // Artist // (COMMISSIONS CLOSED),Chill  porcelain  guy  but make it inspired by the renaissance #PorcelainMade,#PorcelainMade,2,10,2,2025-05-29T15:48:45.000Z,https://x.com/AshIzFalling/status/1928116309339803818
X,I want some My day you ?,,3,3,0,2025-05-29T11:37:37.000Z,https://x.com/justChill_guy/status/1928053109365801152
CHILLGUY on SOL,"When  #CHILLGUY  is around, the vibe is always right",#CHILLGUY,3,5,3,2025-05-26T21:25:58.000Z,https://x.com/chillguy4life/status/1927114010714919096
